Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
603,14,,,,,,
603,15,,,,,,
603,11,,,,,,
603,12,,,,,,
603,13,,,,,,
603,16,,,,,,
603,17,,,,,,
603,19,,,,,,
603,18.1,,,,,,
603,18.2,,,,,,
603,20,,,,,,
603,40.1,,,,,,
603,40.3,,,,,,
603,90,,,,,,
603,40.2,,,,,,
603,91,,,,,,
603,9.2,,,,,,
603,96,,,,,,
604,8,,,,,,
604,9.1,,,,,,
604,10,,,,,,
604,14,,,,,,
604,15,,,,,,
604,11,,,,,,
604,12,,,,,,
604,13,,,,,,
604,16,,,,,,
604,17,,,,,,
604,19,,,,,,
604,18.1,,,,,,
604,18.2,,,,,,
604,20,,,,,,
604,40.1,,,,,,
604,40.3,,,,,,
604,90,,,,,,
604,40.2,,,,,,
604,91,,,,,,
604,9.2,,,,,,
604,96,,,,,,
605,4,31,dominant R > T,,,,
605,5.1,44,postposition,,,,
605,5.2,66,no flagging,,,,
605,6.1,,,,,,
605,6.2,,,,,,
605,7.1,167,indirective,,,,
605,7.2,,,,,,
605,8,,,,,,
605,9.1,,,,,,
605,10,,,,,,
605,14,,,,,,
605,15,,,,,,
605,11,,,,,,
605,12,,,,,,
605,13,,,,,,
605,16,,,,,,
605,17,,,,,,
605,19,,,,,,
605,18.1,,,,,,
605,18.2,,,,,,
605,20,,,,,,
605,40.1,,,,,,
605,40.3,,,,,,
605,90,,,,,,
605,40.2,,,,,,
605,91,,,,,,
605,9.2,,,,,,
605,96,,,,,,
606,4,,,,,,
606,5.1,,,,,,
606,5.2,,,,,,
606,6.1,,,,,,
606,6.2,,,,,,
606,7.1,,,,,,
606,7.2,,,,,,
606,8,,,,,,
606,9.1,,,,,,
606,10,,,,,,
606,14,,,,,,
606,15,,,,,,
606,11,,,,,,
606,12,,,,,,
606,13,,,,,,
606,16,,,,,,
606,17,,,,,,
606,19,,,,,,
606,18.1,,,,,,
606,18.2,,,,,,
606,20,,,,,,
606,40.1,,,,,,
606,40.3,,,,,,
606,90,,,,,,
606,40.2,,,,,,
606,91,,,,,,
606,9.2,,,,,,
606,96,,,,,,
607,4,,,,,,
607,5.1,41,preposition,,,,
607,5.2,66,no flagging,,,,
607,6.1,84,no indexing,,,,
607,6.2,114,no indexing,,,,
607,7.1,167,indirective,,,,
607,7.2,174,indirective,,,,
607,9.1,,,,,,
607,10,,,,,,
607,14,,,,,,
607,15,,,,,,
607,11,,,,,,
607,12,,,,,,
607,13,,,,,,
607,16,,,,,,
607,17,,,,,,
607,19,,,,,,
607,18.1,,,,,,
607,18.2,,,,,,
607,20,,,,,,
607,40.1,,,,,,
607,40.3,,,,,,
607,90,,,,,,
607,40.2,,,,,,
607,91,,,,,,
607,9.2,,,,,,
607,96,,,,,,
608,4,,,,,,
608,5.1,43,suffixal case,,,,
608,5.2,,,,,,
608,6.1,84,no indexing,,,,
608,6.2,114,no indexing,,,,
608,7.1,167,indirective,,,,
608,7.2,172,neutral,,,,
608,8,,,,,,
608,9.1,,,,,,
608,10,,,,,,
608,14,,,,,,
608,15,,,,,,
608,11,,,,,,
608,12,,,,,,
608,13,,,,,,
608,16,,,,,,
608,17,,,,,,
608,19,,,,,,
608,18.1,,,,,,
608,18.2,,,,,,
608,20,,,,,,
608,40.1,,,,,,
608,40.3,,,,,,
608,90,,,,,,
608,40.2,,,,,,
608,91,,,,,,
608,9.2,,,,,,
608,96,,,,,,
609,4,,,,,,
609,5.1,56,prefixal case,,,,
609,5.2,66,no flagging,,,,
609,6.1,84,no indexing,,,,
609,6.2,114,no indexing,,,,
609,7.1,167,indirective,,,,
609,7.2,,,,,,
609,8,,,,,,
609,9.1,,,,,,
609,10,,,,,,
609,14,,,,,,
609,15,,,,,,
609,11,,,,,,
609,12,,,,,,
609,13,,,,,,
609,16,,,,,,
609,17,,,,,,
609,19,,,,,,
609,18.1,,,,,,
609,18.2,,,,,,
609,20,,,,,,
609,40.1,,,,,,
609,40.3,,,,,,
609,90,,,,,,
609,40.2,,,,,,
609,91,,,,,,
609,9.2,,,,,,
609,96,,,,,,
610,4,,,,,,
610,5.1,,,,,,
610,5.2,,,,,,
610,6.1,,,,,,
610,6.2,,,,,,
610,7.1,,,,,,
610,7.2,,,,,,
610,8,,,,,,
610,9.1,,,,,,
610,10,,,,,,
610,14,,,,,,
610,15,,,,,,
610,11,,,,,,
610,12,,,,,,
610,13,,,,,,
610,16,,,,,,
610,17,,,,,,
610,19,,,,,,
610,18.1,,,,,,
610,18.2,,,,,,
610,20,,,,,,
610,40.1,,,,,,
610,40.3,,,,,,
610,90,,,,,,
610,40.2,,,,,,
610,91,,,,,,
610,9.2,,,,,,
610,96,,,,,,
611,4,,,,,,
611,5.1,,,,,,
611,5.2,,,,,,
611,6.1,,,,,,
611,6.2,,,,,,
611,7.1,,,,,,
611,7.2,,,,,,
611,8,,,,,,
611,9.1,,,,,,
611,10,,,,,,
611,14,,,,,,
611,15,,,,,,
611,11,,,,,,
611,12,,,,,,
611,13,,,,,,
611,16,,,,,,
611,17,,,,,,
611,19,,,,,,
611,18.1,,,,,,
611,18.2,,,,,,
611,20,,,,,,
611,40.1,,,,,,
611,40.3,,,,,,
611,90,,,,,,
611,40.2,,,,,,
611,91,,,,,,
611,9.2,,,,,,
611,96,,,,,,
612,4,,,,,,
612,5.1,,,,,,
612,5.2,,,,,,
612,6.1,,,,,,
612,6.2,,,,,,
612,7.1,,,,,,
612,7.2,,,,,,
612,8,,,,,,
612,9.1,,,,,,
612,10,,,,,,
612,14,,,,,,
612,15,,,,,,
612,11,,,,,,
612,12,,,,,,
612,13,,,,,,
612,16,,,,,,
612,17,,,,,,
612,19,,,,,,
612,18.1,,,,,,
612,18.2,,,,,,
612,20,,,,,,
612,40.1,,,,,,
612,40.3,,,,,,
612,90,,,,,,
612,40.2,,,,,,
612,91,,,,,,
612,9.2,,,,,,
612,96,,,,,,
613,4,,,,,,
613,5.1,,,,,,
613,5.2,,,,,,
613,6.1,,,,,,
613,6.2,,,,,,
613,7.1,,,,,,
613,7.2,,,,,,
613,8,,,,,,
613,9.1,,,,,,
613,10,,,,,,
613,14,,,,,,
613,15,,,,,,
613,11,,,,,,
613,12,,,,,,
613,13,,,,,,
613,16,,,,,,
613,17,,,,,,
613,19,,,,,,
613,18.1,,,,,,
613,18.2,,,,,,
613,20,,,,,,
613,40.1,,,,,,
613,40.3,,,,,,
613,90,,,,,,
613,40.2,,,,,,
613,91,,,,,,
613,9.2,,,,,,
613,96,,,,,,
614,4,,,,,,
614,5.1,,,,,,
614,5.2,,,,,,
614,6.1,,,,,,
614,6.2,,,,,,
614,7.1,167,indirective,,,,
614,7.2,,,,,,
614,8,,,,,,
614,9.1,,,,,,
614,10,,,,,,
614,14,,,,,,
614,15,,,,,,
614,11,,,,,,
614,12,,,,,,
614,13,,,,,,
614,16,,,,,,
614,17,,,,,,
614,19,,,,,,
614,18.1,,,,,,
614,18.2,,,,,,
614,20,,,,,,
614,40.1,,,,,,
614,40.3,,,,,,
614,90,,,,,,
614,40.2,,,,,,
614,91,,,,,,
614,9.2,,,,,,
614,96,,,,,,
616,4,,,,,,
616,5.1,,,,,,
616,5.2,,,,,,
616,6.1,,,,,,
616,6.2,,,,,,
616,7.1,,,,,,
616,7.2,,,,,,
616,8,,,,,,
616,9.1,,,,,,
616,10,,,,,,
616,14,,,,,,
616,15,,,,,,
616,11,,,,,,
616,12,,,,,,
616,13,,,,,,
616,16,,,,,,
616,17,,,,,,
616,19,,,,,,
616,18.1,,,,,,
616,18.2,,,,,,
616,20,,,,,,
616,40.1,,,,,,
616,40.3,,,,,,
616,90,,,,,,
616,40.2,,,,,,
616,91,,,,,,
616,9.2,,,,,,
616,96,,,,,,
617,4,,,,,,
617,5.1,,,,,,
617,5.2,,,,,,
617,6.1,,,,,,
617,6.2,,,,,,
617,7.1,,,,,,
617,7.2,,,,,,
617,8,,,,,,
617,9.1,,,,,,
617,10,,,,,,
617,14,,,,,,
617,15,,,,,,
617,11,,,,,,
617,12,,,,,,
617,13,,,,,,
617,16,,,,,,
617,17,,,,,,
617,19,,,,,,
617,18.1,,,,,,
617,18.2,,,,,,
617,20,,,,,,
617,40.1,,,,,,
617,40.3,,,,,,
617,90,,,,,,
617,40.2,,,,,,
617,91,,,,,,
617,9.2,,,,,,
617,96,,,,,,
618,4,,,,,,
618,5.1,,,,,,
618,5.2,,,,,,
618,6.1,,,,,,
618,6.2,,,,,,
618,7.1,,,,,,
618,7.2,,,,,,
618,8,,,,,,
618,9.1,,,,,,
618,10,,,,,,
618,14,,,,,,
618,15,,,,,,
618,11,,,,,,
618,12,,,,,,
618,13,,,,,,
618,16,,,,,,
618,17,,,,,,
618,19,,,,,,
618,18.1,,,,,,
618,18.2,,,,,,
618,20,,,,,,
618,40.1,,,,,,
618,40.3,,,,,,
618,90,,,,,,
618,40.2,,,,,,
618,91,,,,,,
618,9.2,,,,,,
618,96,,,,,,
619,4,,,,,,
619,5.1,,,,,,
619,5.2,,,,,,
619,6.1,,,,,,
619,6.2,,,,,,
619,7.1,,,,,,
619,7.2,,,,,,
619,8,,,,,,
619,9.1,,,,,,
619,10,,,,,,
619,14,,,,,,
619,15,,,,,,
619,11,,,,,,
619,12,,,,,,
619,13,,,,,,
619,16,,,,,,
619,17,,,,,,
619,19,,,,,,
619,18.1,,,,,,
619,18.2,,,,,,
619,20,,,,,,
619,40.1,,,,,,
619,40.3,,,,,,
619,90,,,,,,
619,40.2,,,,,,
619,91,,,,,,
619,9.2,,,,,,
619,96,,,,,,
620,4,,,,,,
620,5.1,,,,,,
620,5.2,,,,,,
620,6.1,,,,,,
620,6.2,,,,,,
620,7.1,,,,,,
620,7.2,,,,,,
620,8,,,,,,
620,9.1,,,,,,
620,10,,,,,,
620,14,,,,,,
620,15,,,,,,
620,11,,,,,,
620,12,,,,,,
620,13,,,,,,
620,16,,,,,,
620,17,,,,,,
620,19,,,,,,
620,18.1,,,,,,
620,18.2,,,,,,
620,20,,,,,,
620,40.1,,,,,,
620,40.3,,,,,,
620,90,,,,,,
620,40.2,,,,,,
620,91,,,,,,
620,9.2,,,,,,
620,96,,,,,,
621,4,,,,,,
621,5.1,,,,,,
621,5.2,,,,,,
621,6.1,,,,,,
621,6.2,,,,,,
621,7.1,,,,,,
621,7.2,,,,,,
621,8,,,,,,
621,9.1,,,,,,
621,10,,,,,,
621,14,,,,,,
621,15,,,,,,
621,11,,,,,,
621,12,,,,,,
621,13,,,,,,
621,16,,,,,,
621,17,,,,,,
621,19,,,,,,
621,18.1,,,,,,
621,18.2,,,,,,
621,20,,,,,,
621,40.1,,,,,,
621,40.3,,,,,,
621,90,,,,,,
621,40.2,,,,,,
621,91,,,,,,
621,9.2,,,,,,
621,96,,,,,,
622,4,,,,,,
622,5.1,,,,,,
622,5.2,,,,,,
622,6.1,,,,,,
622,6.2,,,,,,
622,7.1,,,,,,
622,7.2,,,,,,
622,8,,,,,,
622,9.1,,,,,,
622,10,,,,,,
622,14,,,,,,
622,15,,,,,,
622,11,,,,,,
622,12,,,,,,
622,13,,,,,,
622,16,,,,,,
622,17,,,,,,
622,19,,,,,,
622,18.1,,,,,,
622,18.2,,,,,,
622,20,,,,,,
622,40.1,,,,,,
622,40.3,,,,,,
622,90,,,,,,
622,40.2,,,,,,
622,91,,,,,,
622,9.2,,,,,,
622,96,,,,,,
623,4,,,,,,
623,5.1,,,,,,
623,5.2,,,,,,
623,6.1,,,,,,
623,6.2,,,,,,
623,7.1,,,,,,
623,7.2,,,,,,
623,8,,,,,,
623,9.1,,,,,,
623,10,,,,,,
623,14,,,,,,
623,15,,,,,,
623,11,,,,,,
623,12,,,,,,
623,13,,,,,,
623,16,,,,,,
623,17,,,,,,
623,19,,,,,,
623,18.1,,,,,,
623,18.2,,,,,,
623,20,,,,,,
623,40.1,,,,,,
623,40.3,,,,,,
623,90,,,,,,
623,40.2,,,,,,
623,91,,,,,,
623,9.2,,,,,,
623,96,,,,,,
624,4,,,,,,
624,8,,,,,,
624,9.1,,,,,,
624,10,,,,,,
624,14,,,,,,
624,15,,,,,,
624,11,,,,,,
624,12,,,,,,
624,13,,,,,,
624,16,,,,,,
624,17,,,,,,
624,19,,,,,,
624,18.1,,,,,,
624,18.2,,,,,,
624,20,,,,,,
624,40.1,,,,,,
624,40.3,,,,,,
624,90,,,,,,
624,40.2,,,,,,
624,91,,,,,,
624,9.2,,,,,,
624,96,,,,,,
625,8,,,,,,
625,9.1,,,,,,
625,10,,,,,,
625,14,,,,,,
625,15,,,,,,
625,11,,,,,,
625,12,,,,,,
625,13,,,,,,
625,16,,,,,,
625,17,,,,,,
625,19,,,,,,
625,18.1,,,,,,
625,18.2,,,,,,
625,20,,,,,,
625,40.1,,,,,,
625,40.3,,,,,,
625,90,,,,,,
625,40.2,,,,,,
625,91,,,,,,
625,9.2,,,,,,
625,96,,,,,,
626,4,,,,,,
626,8,,,,,,
626,9.1,,,,,,
626,10,,,,,,
626,14,,,,,,
626,15,,,,,,
626,11,,,,,,
626,12,,,,,,
626,13,,,,,,
626,16,,,,,,
626,17,,,,,,
626,19,,,,,,
626,18.1,,,,,,
626,18.2,,,,,,
626,20,,,,,,
626,40.1,,,,,,
626,40.3,,,,,,
626,90,,,,,,
626,40.2,,,,,,
626,91,,,,,,
626,9.2,,,,,,
626,96,,,,,,
627,8,,,,,,
627,9.1,,,,,,
627,10,,,,,,
627,14,,,,,,
627,15,,,,,,
627,11,,,,,,
627,12,,,,,,
627,13,,,,,,
627,16,,,,,,
627,17,,,,,,
627,19,,,,,,
627,18.1,,,,,,
627,18.2,,,,,,
627,20,,,,,,
627,40.1,,,,,,
627,40.3,,,,,,
627,90,,,,,,
627,40.2,,,,,,
627,91,,,,,,
627,9.2,,,,,,
627,96,,,,,,
629,8,,,,,,
629,9.1,,,,,,
629,10,,,,,,
629,14,,,,,,
629,15,,,,,,
629,11,,,,,,
629,12,,,,,,
629,13,,,,,,
629,16,,,,,,
629,17,,,,,,
629,19,,,,,,
629,18.1,,,,,,
629,18.2,,,,,,
629,20,,,,,,
629,40.1,,,,,,
629,40.3,,,,,,
629,90,,,,,,
629,40.2,,,,,,
629,91,,,,,,
629,9.2,,,,,,
629,96,,,,,,
631,8,,,,,,
631,9.1,,,,,,
631,10,,,,,,
631,14,,,,,,
631,15,,,,,,
631,11,,,,,,
631,12,,,,,,
631,13,,,,,,
631,16,,,,,,
631,17,,,,,,
631,19,,,,,,
631,18.1,,,,,,
631,18.2,,,,,,
631,20,,,,,,
631,40.1,,,,,,
631,40.3,,,,,,
631,90,,,,,,
631,40.2,,,,,,
631,91,,,,,,
631,9.2,,,,,,
631,96,,,,,,
634,4,,,,,,
634,8,,,,,,
634,9.1,,,,,,
634,10,,,,,,
634,14,,,,,,
634,15,,,,,,
634,11,,,,,,
634,12,,,,,,
634,13,,,,,,
634,16,,,,,,
634,17,,,,,,
634,19,,,,,,
634,18.1,,,,,,
634,18.2,,,,,,
634,20,,,,,,
634,40.1,,,,,,
634,40.3,,,,,,
634,90,,,,,,
634,40.2,,,,,,
634,91,,,,,,
634,9.2,,,,,,
634,96,,,,,,
635,8,,,,,,
635,9.1,,,,,,
635,10,,,,,,
635,14,,,,,,
635,15,,,,,,
635,11,,,,,,
635,12,,,,,,
635,13,,,,,,
635,16,,,,,,
635,17,,,,,,
635,19,,,,,,
635,18.1,,,,,,
635,18.2,,,,,,
635,20,,,,,,
635,40.1,,,,,,
635,40.3,,,,,,
635,90,,,,,,
635,40.2,,,,,,
635,91,,,,,,
635,9.2,,,,,,
635,96,,,,,,
636,8,,,,,,
636,9.1,,,,,,
636,10,,,,,,
636,14,,,,,,
636,15,,,,,,
636,11,,,,,,
636,12,,,,,,
636,13,,,,,,
636,16,,,,,,
636,17,,,,,,
636,19,,,,,,
636,18.1,,,,,,
636,18.2,,,,,,
636,20,,,,,,
636,40.1,,,,,,
636,40.3,,,,,,
636,90,,,,,,
636,40.2,,,,,,
636,91,,,,,,
636,9.2,,,,,,
636,96,,,,,,
637,4,,,,,,
637,5.1,,,,,,
637,5.2,,,,,,
637,6.1,,,,,,
637,6.2,,,,,,
637,7.1,,,,,,
637,7.2,,,,,,
637,8,,,,,,
637,9.1,,,,,,
637,10,,,,,,
637,14,,,,,,
637,15,,,,,,
637,11,,,,,,
637,12,,,,,,
637,13,,,,,,
637,16,,,,,,
637,17,,,,,,
637,19,,,,,,
637,18.1,,,,,,
637,18.2,,,,,,
637,20,,,,,,
637,40.1,,,,,,
637,40.3,,,,,,
637,90,,,,,,
637,40.2,,,,,,
637,91,,,,,,
637,9.2,,,,,,
637,96,,,,,,
638,4,,,,,,
638,5.1,,,,,,
638,5.2,,,,,,
638,6.1,,,,,,
638,6.2,,,,,,
638,7.1,,,,,,
638,7.2,,,,,,
638,8,,,,,,
638,9.1,,,,,,
638,10,,,,,,
638,14,,,,,,
638,15,,,,,,
638,11,,,,,,
638,12,,,,,,
638,13,,,,,,
638,16,,,,,,
638,17,,,,,,
638,19,,,,,,
638,18.1,,,,,,
638,18.2,,,,,,
638,20,,,,,,
638,40.1,,,,,,
638,40.3,,,,,,
638,90,,,,,,
638,40.2,,,,,,
638,91,,,,,,
638,9.2,,,,,,
638,96,,,,,,
639,4,,,,,,
639,5.1,,,,,,
639,5.2,,,,,,
639,6.1,,,,,,
639,6.2,,,,,,
639,7.1,,,,,,
639,7.2,,,,,,
639,8,,,,,,
639,9.1,,,,,,
639,10,,,,,,
639,14,,,,,,
639,15,,,,,,
639,11,,,,,,
639,12,,,,,,
639,13,,,,,,
639,16,,,,,,
639,17,,,,,,
639,19,,,,,,
639,18.1,,,,,,
639,18.2,,,,,,
639,20,,,,,,
639,40.1,,,,,,
639,40.3,,,,,,
639,90,,,,,,
639,40.2,,,,,,
639,91,,,,,,
639,9.2,,,,,,
639,96,,,,,,
640,4,,,,,,
640,5.1,,,,,,
640,5.2,,,,,,
640,6.2,,,,,,
640,7.1,,,,,,
640,7.2,,,,,,
640,8,,,,,,
640,9.1,,,,,,
640,10,,,,,,
640,14,,,,,,
640,15,,,,,,
640,11,,,,,,
640,12,,,,,,
640,13,,,,,,
640,16,,,,,,
640,17,,,,,,
640,19,,,,,,
640,18.1,,,,,,
640,18.2,,,,,,
640,20,,,,,,
640,40.1,,,,,,
640,40.3,,,,,,
640,90,,,,,,
640,40.2,,,,,,
640,91,,,,,,
640,9.2,,,,,,
640,96,,,,,,
642,4,,,,,,
642,5.1,,,,,,
642,5.2,,,,,,
642,6.1,,,,,,
642,6.2,,,,,,
642,7.1,,,,,,
642,7.2,,,,,,
642,8,,,,,,
642,9.1,,,,,,
642,10,,,,,,
642,14,,,,,,
642,15,,,,,,
642,11,,,,,,
642,12,,,,,,
642,13,,,,,,
642,16,,,,,,
642,17,,,,,,
642,19,,,,,,
642,18.1,,,,,,
642,18.2,,,,,,
642,20,,,,,,
642,40.1,,,,,,
642,40.3,,,,,,
642,90,,,,,,
642,40.2,,,,,,
642,91,,,,,,
642,9.2,,,,,,
642,96,,,,,,
644,4,,,,,,
644,5.1,,,,,,
644,5.2,,,,,,
644,6.1,,,,,,
644,6.2,,,,,,
644,7.1,,,,,,
644,7.2,,,,,,
644,8,,,,,,
644,9.1,,,,,,
644,10,,,,,,
644,14,,,,,,
644,15,,,,,,
644,11,,,,,,
644,12,,,,,,
644,13,,,,,,
644,16,,,,,,
644,17,,,,,,
644,19,,,,,,
644,18.1,,,,,,
644,18.2,,,,,,
644,20,,,,,,
644,40.1,,,,,,
644,40.3,,,,,,
644,90,,,,,,
644,40.2,,,,,,
644,91,,,,,,
644,9.2,,,,,,
644,96,,,,,,
645,4,,,,,,
645,5.1,,,,,,
645,5.2,,,,,,
645,6.1,,,,,,
645,6.2,,,,,,
645,7.1,,,,,,
645,7.2,,,,,,
645,8,,,,,,
645,9.1,,,,,,
645,10,,,,,,
645,14,,,,,,
645,15,,,,,,
645,11,,,,,,
645,12,,,,,,
645,13,,,,,,
645,16,,,,,,
645,17,,,,,,
645,19,,,,,,
645,18.1,,,,,,
645,18.2,,,,,,
645,20,,,,,,
645,40.1,,,,,,
645,40.3,,,,,,
645,90,,,,,,
645,40.2,,,,,,
645,91,,,,,,
645,9.2,,,,,,
645,96,,,,,,
646,4,,,,,,
646,5.1,,,,,,
646,5.2,,,,,,
646,6.1,,,,,,
646,6.2,,,,,,
646,7.1,,,,,,
646,7.2,,,,,,
646,8,,,,,,
646,9.1,,,,,,
646,10,,,,,,
646,14,,,,,,
646,15,,,,,,
646,11,,,,,,
646,12,,,,,,
646,13,,,,,,
646,16,,,,,,
646,17,,,,,,
646,19,,,,,,
646,18.1,,,,,,
646,18.2,,,,,,
646,20,,,,,,
646,40.1,,,,,,
646,40.3,,,,,,
646,90,,,,,,
646,40.2,,,,,,
646,91,,,,,,
646,9.2,,,,,,
646,96,,,,,,
647,4,,,,,,
647,5.1,,,,,,
647,5.2,,,,,,
647,6.1,,,,,,
647,6.2,,,,,,
647,7.1,,,,,,
647,7.2,,,,,,
647,8,,,,,,
647,9.1,,,,,,
647,10,,,,,,
647,14,,,,,,
647,15,,,,,,
647,11,,,,,,
647,12,,,,,,
647,13,,,,,,
647,16,,,,,,
647,17,,,,,,
647,19,,,,,,
647,18.1,,,,,,
647,18.2,,,,,,
647,20,,,,,,
647,40.1,,,,,,
647,40.3,,,,,,
647,90,,,,,,
647,40.2,,,,,,
647,91,,,,,,
647,9.2,,,,,,
647,96,,,,,,
648,4,,,,,,
648,5.1,,,,,,
648,5.2,,,,,,
648,6.1,,,,,,
648,6.2,,,,,,
648,7.1,,,,,,
648,7.2,,,,,,
648,8,,,,,,
648,9.1,,,,,,
648,10,,,,,,
648,14,,,,,,
648,15,,,,,,
648,11,,,,,,
648,12,,,,,,
648,13,,,,,,
648,16,,,,,,
648,17,,,,,,
648,19,,,,,,
648,18.1,,,,,,
648,18.2,,,,,,
648,20,,,,,,
648,40.1,,,,,,
648,40.3,,,,,,
648,90,,,,,,
648,40.2,,,,,,
648,91,,,,,,
648,9.2,,,,,,
648,96,,,,,,
649,4,,,,,,
649,5.1,,,,,,
649,5.2,,,,,,
649,6.1,,,,,,
649,6.2,,,,,,
649,7.1,,,,,,
649,7.2,,,,,,
649,8,,,,,,
649,9.1,,,,,,
649,10,,,,,,
649,14,,,,,,
649,15,,,,,,
649,11,,,,,,
649,12,,,,,,
649,13,,,,,,
649,16,,,,,,
649,17,,,,,,
649,19,,,,,,
649,18.1,,,,,,
649,18.2,,,,,,
649,20,,,,,,
649,40.1,,,,,,
649,40.3,,,,,,
649,90,,,,,,
649,40.2,,,,,,
649,91,,,,,,
649,9.2,,,,,,
649,96,,,,,,
650,4,,,,,,
650,5.1,,,,,,
650,5.2,,,,,,
650,6.1,,,,,,
650,6.2,,,,,,
650,7.1,,,,,,
650,7.2,,,,,,
650,8,,,,,,
650,9.1,,,,,,
650,10,,,,,,
650,14,,,,,,
650,15,,,,,,
650,11,,,,,,
650,12,,,,,,
650,13,,,,,,
650,16,,,,,,
650,17,,,,,,
650,19,,,,,,
650,18.1,,,,,,
650,18.2,,,,,,
650,20,,,,,,
650,40.1,,,,,,
650,40.3,,,,,,
650,90,,,,,,
650,40.2,,,,,,
650,91,,,,,,
650,9.2,,,,,,
650,96,,,,,,
651,4,,,,,,
651,5.1,,,,,,
651,5.2,,,,,,
651,6.1,,,,,,
651,6.2,,,,,,
651,7.1,,,,,,
651,7.2,,,,,,
651,8,,,,,,
651,9.1,,,,,,
651,10,,,,,,
651,14,,,,,,
651,15,,,,,,
651,11,,,,,,
651,12,,,,,,
651,13,,,,,,
651,16,,,,,,
651,17,,,,,,
651,19,,,,,,
651,18.1,,,,,,
651,18.2,,,,,,
651,20,,,,,,
651,40.1,,,,,,
651,40.3,,,,,,
651,90,,,,,,
651,40.2,,,,,,
651,91,,,,,,
651,9.2,,,,,,
651,96,,,,,,
652,4,,,,,,
652,5.1,43,suffixal case,,,,
652,5.2,,,,,,
652,6.1,84,no indexing,,,,
652,6.2,114,no indexing,,,,
652,7.1,167,indirective,,,,
652,7.2,175,neutral,,,,
652,8,,,,,,
652,9.1,,,,,,
652,10,,,,,,
652,14,,,,,,
652,15,,,,,,
652,11,,,,,,
652,12,,,,,,
652,13,,,,,,
652,16,,,,,,
652,17,,,,,,
652,19,,,,,,
652,18.1,,,,,,
652,18.2,,,,,,
652,20,,,,,,
652,40.1,,,,,,
652,40.3,,,,,,
652,90,,,,,,
652,40.2,,,,,,
652,91,,,,,,
652,9.2,,,,,,
652,96,,,,,,
653,4,,,,,,
653,5.1,,,,,,
653,5.2,,,,,,
653,6.1,,,,,,
653,6.2,,,,,,
653,7.1,,,,,,
653,7.2,,,,,,
653,8,,,,,,
653,9.1,,,,,,
653,10,,,,,,
653,14,,,,,,
653,15,,,,,,
653,11,,,,,,
653,12,,,,,,
653,13,,,,,,
653,16,,,,,,
653,17,,,,,,
653,19,,,,,,
653,18.1,,,,,,
653,18.2,,,,,,
653,20,,,,,,
653,40.1,,,,,,
653,40.3,,,,,,
653,90,,,,,,
653,40.2,,,,,,
653,91,,,,,,
653,9.2,,,,,,
653,96,,,,,,
654,4,,,,,,
654,5.1,,,,,,
654,5.2,,,,,,
654,6.1,,,,,,
654,6.2,,,,,,
654,7.1,,,,,,
654,7.2,,,,,,
654,8,,,,,,
654,9.1,,,,,,
654,10,,,,,,
654,14,,,,,,
654,15,,,,,,
654,11,,,,,,
654,12,,,,,,
654,13,,,,,,
654,16,,,,,,
654,17,,,,,,
654,19,,,,,,
654,18.1,,,,,,
654,18.2,,,,,,
654,20,,,,,,
654,40.1,,,,,,
654,40.3,,,,,,
654,90,,,,,,
654,40.2,,,,,,
654,91,,,,,,
654,9.2,,,,,,
654,96,,,,,,
655,4,,,,,,
655,5.1,,,,,,
655,5.2,,,,,,
655,6.1,,,,,,
655,6.2,,,,,,
655,7.1,,,,,,
655,7.2,,,,,,
655,8,,,,,,
655,9.1,,,,,,
655,10,,,,,,
655,14,,,,,,
655,15,,,,,,
655,11,,,,,,
655,12,,,,,,
655,13,,,,,,
655,16,,,,,,
655,17,,,,,,
655,19,,,,,,
655,18.1,,,,,,
655,18.2,,,,,,
655,20,,,,,,
655,40.1,,,,,,
655,40.3,,,,,,
655,90,,,,,,
655,40.2,,,,,,
655,91,,,,,,
655,9.2,,,,,,
655,96,,,,,,
656,4,,,,,,
656,5.1,,,,,,
656,5.2,,,,,,
656,6.1,,,,,,
656,6.2,,,,,,
656,7.1,,,,,,
656,7.2,,,,,,
656,8,,,,,,
656,9.1,,,,,,
656,10,,,,,,
656,14,,,,,,
656,15,,,,,,
656,11,,,,,,
656,12,,,,,,
656,13,,,,,,
656,16,,,,,,
656,17,,,,,,
656,19,,,,,,
656,18.1,,,,,,
656,18.2,,,,,,
656,20,,,,,,
656,40.1,,,,,,
656,40.3,,,,,,
656,90,,,,,,
656,40.2,,,,,,
656,91,,,,,,
656,9.2,,,,,,
656,96,,,,,,
657,4,,,,,,
657,5.1,,,,,,
657,5.2,,,,,,
657,6.1,,,,,,
657,6.2,,,,,,
657,7.1,,,,,,
657,7.2,,,,,,
657,8,,,,,,
657,9.1,,,,,,
657,10,,,,,,
657,14,,,,,,
657,15,,,,,,
657,11,,,,,,
657,12,,,,,,
657,13,,,,,,
657,16,,,,,,
657,17,,,,,,
657,19,,,,,,
657,18.1,,,,,,
657,18.2,,,,,,
657,20,,,,,,
657,40.1,,,,,,
657,40.3,,,,,,
657,90,,,,,,
657,40.2,,,,,,
657,91,,,,,,
657,9.2,,,,,,
657,96,,,,,,
